DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Renault Grand Scenic - 1.5 dsi  (Diesel);Renault;Grand Scenic;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Grand Scenic - 2.0  (Naftero);Renault;Grand Scenic;Elaion F30;Naftero;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Grand Scenic -DPF -   (Diesel);Renault;Grand Scenic -DPF;Consultar manual;Diesel;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Renault Kangoo - 1.5 dsi  (Diesel);Renault;Kangoo;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Kangoo - 1.6  (Naftero);Renault;Kangoo;Elaion F30;Naftero;1.6;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Kangoo -DPF -   (Diesel);Renault;Kangoo -DPF;Consultar manual;Diesel;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Renault Laguna - 1.9 dsi  (Diesel);Renault;Laguna;Elaion F30;Diesel;1.9 dsi;4,8;5;1,25;1;0,25;1;0,2;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Laguna - 2.0  (Naftero);Renault;Laguna;Elaion F30;Naftero;2.0;5,2;6;1,5;1;0,5;2;0,8;$ 452,00;$ 117,00;$ 452,00;$ 234,00;$ 686,00
Renault Laguna - 3.0  (Naftero);Renault;Laguna;Elaion F30;Naftero;3.0;5,4;6;1,5;1;0,5;2;0,6;$ 452,00;$ 117,00;$ 452,00;$ 234,00;$ 686,00
Renault Laguna -DPF -   (Diesel);Renault;Laguna -DPF;Consultar manual;Diesel;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Renault Logan - 1.5 dsi  (Diesel);Renault;Logan;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Logan - 1.6  (Naftero);Renault;Logan;Elaion F30;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 452,00;$ 117,00;$ 452,00;$ 0,00;$ 452,00
Renault Logan -DPF -   (Diesel);Renault;Logan -DPF;Consultar manual;Diesel;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Renault Master - 2.5 dsi  (Diesel);Renault;Master;Elaion F30;Diesel;2.5 dsi;6,7;7;1,75;1;0,75;3;0,3;$ 452,00;$ 117,00;$ 452,00;$ 351,00;$ 803,00
Renault Megane - 1.6  (Naftero);Renault;Megane;Elaion F30;Naftero;1.6;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane - 1.9 dti  (Diesel);Renault;Megane;Elaion F30;Diesel;1.9 dti;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane - 2.0  (Naftero);Renault;Megane;Elaion F30;Naftero;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane II - 1.5 dsi  (Diesel);Renault;Megane II;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane II - 1.6  (Naftero);Renault;Megane II;Elaion F30;Naftero;1.6;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane II - 2.0  (Naftero);Renault;Megane II;Elaion F30;Naftero;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Megane II -DPF -   (Diesel);Renault;Megane II -DPF;Consultar manual;Diesel;;0,0;0;0;0;0;0;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Renault Sandero - 1.5 dsi  (Diesel);Renault;Sandero;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Sandero - 1.6  (Naftero);Renault;Sandero;Elaion F30;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 452,00;$ 117,00;$ 452,00;$ 0,00;$ 452,00
Seat Altea -   (Diesel);Seat;Altea;Elaion F50;Diesel;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Seat Altea -   (Naftero);Seat;Altea;Elaion F50;Naftero;;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Seat Cordoba - 1.6  (Naftero);Seat;Cordoba;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Cordoba - 1.8  (Naftero);Seat;Cordoba;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Cordoba - 1.9 tdi  (Diesel);Seat;Cordoba;Elaion F50;Diesel;1.9 tdi;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Seat Ibiza - 1.6  (Naftero);Seat;Ibiza;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Ibiza - 1.8  (Naftero);Seat;Ibiza;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Ibiza - 1.9 sd  (Diesel);Seat;Ibiza;Elaion F10;Diesel;1.9 sd;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Seat Ibiza - 1.9 tdi  (Diesel);Seat;Ibiza;Elaion F50;Diesel;1.9 tdi;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Seat Leon - 1.6  (Naftero);Seat;Leon;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Leon - 1.9 tdi  (Diesel);Seat;Leon;Elaion F50;Diesel;1.9 tdi;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Seat Toledo - 1.6  (Naftero);Seat;Toledo;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Seat Toledo - 1.9 sd  (Diesel);Seat;Toledo;Elaion F10;Diesel;1.9 sd;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Seat Toledo - 1.9 tdi  (Diesel);Seat;Toledo;Elaion F50;Diesel;1.9 tdi;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Seat Toledo - 2.0  (Naftero);Seat;Toledo;Elaion F50;Naftero;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Subaru Forester - 2.0  (Naftero);Subaru;Forester;Elaion F50E;Naftero;2.0;4,5;5;1,25;1;0,25;1;0,5;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Subaru Impreza - 2.0  (Naftero);Subaru;Impreza;Elaion F50E;Naftero;2.0;4,2;5;1,25;1;0,25;1;0,8;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Subaru Legacy -   (Diesel);Subaru;Legacy;Elaion F50;Diesel;;5,5;6;1,5;1;0,5;2;0,5;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Subaru Legacy - 2.0  (Naftero);Subaru;Legacy;Elaion F50E;Naftero;2.0;4,0;4;1;1;0;0;0;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Subaru Outback -   (Diesel);Subaru;Outback;Elaion F50;Diesel;;5,5;6;1,5;1;0,5;2;0,5;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Subaru Outback - 2.0  (Naftero);Subaru;Outback;Elaion F50E;Naftero;2.0;4,0;4;1;1;0;0;0;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Subaru Tribeca - 3.0  (Naftero);Subaru;Tribeca;Elaion SUV;Naftero;3.0;6,3;7;1,75;1;0,75;3;0,7;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Suzuki Fun - 1.0  (Naftero);Suzuki;Fun;Elaion F50;Naftero;1.0;3,0;3;0,75;0;0,75;3;0;$ 625,00;$ 163,00;$ 0,00;$ 489,00;$ 489,00
Suzuki Fun - 1.4  (Naftero);Suzuki;Fun;Elaion F50;Naftero;1.4;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Suzuki Grand Vitara - 1.6  (Naftero);Suzuki;Grand Vitara;Elaion SUV;Naftero;1.6;4,2;5;1,25;1;0,25;1;0,8;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Suzuki Grand Vitara - 1.9  (Diesel);Suzuki;Grand Vitara;Elaion SUV;Diesel;1.9;5,1;6;1,5;1;0,5;2;0,9;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Suzuki Grand Vitara XL7 - 2.0 tdi  (Naftero);Suzuki;Grand Vitara XL7;Elaion SUV;Naftero;2.0 tdi;4,8;5;1,25;1;0,25;1;0,2;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Suzuki Grand Vitara XL7 - 2.7 V6  (Naftero);Suzuki;Grand Vitara XL7;Elaion SUV;Naftero;2.7 V6;5,5;6;1,5;1;0,5;2;0,5;$ 682,00;$ 174,00;$ 682,00;$ 348,00;$ 1.030,00
Suzuki Swift - 1.5  (Naftero);Suzuki;Swift;Elaion F50;Naftero;1.5;3,9;4;1;1;0;0;0,1;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Suzuki Vitara J III - 2.4  (Naftero);Suzuki;Vitara J III;Elaion SUV;Naftero;2.4;4,8;5;1,25;1;0,25;1;0,2;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Toyota Camry - 2.4  (Naftero);Toyota;Camry;Elaion F50;Naftero;2.4;4,3;5;1,25;1;0,25;1;0,7;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Toyota Corolla - 1.8  (Naftero);Toyota;Corolla;Elaion F30;Naftero;1.8;4,0;4;1;1;0;0;0;$ 452,00;$ 117,00;$ 452,00;$ 0,00;$ 452,00
Toyota Corolla - 2.0 td  (Diesel);Toyota;Corolla;Elaion F30;Diesel;2.0 td;5,5;6;1,5;1;0,5;2;0,5;$ 452,00;$ 117,00;$ 452,00;$ 234,00;$ 686,00
Toyota Hilux (4x2) - 2.8 tdi  (Diesel);Toyota;Hilux (4x2);Elaion Torque;Diesel;2.8 tdi;5,5;6;1,5;1;0,5;2;0,5;$ 407,00;$ 105,00;$ 407,00;$ 210,00;$ 617,00
Toyota Hilux SW4 - 3.0 tdi  (Diesel);Toyota;Hilux SW4;Elaion Torque;Diesel;3.0 tdi;7,5;8;2;2;0;0;0,5;$ 407,00;$ 105,00;$ 814,00;$ 0,00;$ 814,00
Toyota Land Cruiser 200 - 4.5 V8 D4D  (Diesel);Toyota;Land Cruiser 200;Elaion SUV;Diesel;4.5 V8 D4D;9,0;9;2,25;2;0,25;1;0;$ 682,00;$ 174,00;$ 1.364,00;$ 174,00;$ 1.538,00
Toyota Land Cruiser 200 - 4.7 V8  (Naftero);Toyota;Land Cruiser 200;Elaion SUV;Naftero;4.7 V8;6,8;7;1,75;1;0,75;3;0,2;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Toyota Land Cruiser Prado -   (Diesel);Toyota;Land Cruiser Prado;Elaion SUV;Diesel;;0,0;0;0;0;0;0;0;$ 682,00;$ 174,00;$ 0,00;$ 0,00;$ 0,00
Toyota Prius - 1.8 hibrido  (Naftero);Toyota;Prius;Consultar manual;Naftero;1.8 hibrido;4,2;5;1,25;1;0,25;1;0,8;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Toyota RAV4 - 2.0  (Naftero);Toyota;RAV4;Elaion SUV;Naftero;2.0;3,9;4;1;1;0;0;0,1;$ 682,00;$ 174,00;$ 682,00;$ 0,00;$ 682,00
Toyota RAV4 - 2.4  (Naftero);Toyota;RAV4;Elaion SUV;Naftero;2.4;4,3;5;1,25;1;0,25;1;0,7;$ 682,00;$ 174,00;$ 682,00;$ 174,00;$ 856,00
Volkswagen Amarok - 2.0 tdi  (Diesel);Volkswagen;Amarok;Elaion F50;Diesel;2.0 tdi;0,0;0;0;0;0;0;0;$ 625,00;$ 163,00;$ 0,00;$ 0,00;$ 0,00
Volkswagen Beetle - 1.8 t  (Naftero);Volkswagen;Beetle;Elaion F50;Naftero;1.8 t;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Beetle - 2.0  (Naftero);Volkswagen;Beetle;Elaion F50;Naftero;2.0;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Bora - 1.8 t  (Naftero);Volkswagen;Bora;Elaion F50;Naftero;1.8 t;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Bora - 1.9 tdi  (Diesel);Volkswagen;Bora;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Bora - 2.0  (Naftero);Volkswagen;Bora;Elaion F50;Naftero;2.0;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Caddy - 1.6  (Naftero);Volkswagen;Caddy;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Caddy - 1.9  (Diesel);Volkswagen;Caddy;Elaion F10;Diesel;1.9;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Crossfox - 1.6  (Naftero);Volkswagen;Crossfox;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Fox - 1.6  (Naftero);Volkswagen;Fox;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Fox - 1.9  (Naftero);Volkswagen;Fox;Elaion F10;Naftero;1.9;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Gol - 1.0  (Naftero);Volkswagen;Gol;Elaion F10;Naftero;1.0;3,5;4;1;1;0;0;0,5;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Gol - 1.6  (Naftero);Volkswagen;Gol;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Gol - 1.6 sd  (Diesel);Volkswagen;Gol;Elaion F10;Diesel;1.6 sd;3,5;4;1;1;0;0;0,5;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Gol - 1.9 sd  (Diesel);Volkswagen;Gol;Elaion F10;Diesel;1.9 sd;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Gol Country - 1.6  (Naftero);Volkswagen;Gol Country;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Gol Country - 1.9 sd  (Diesel);Volkswagen;Gol Country;Elaion F10;Diesel;1.9 sd;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Gol Power - 1.4  (Naftero);Volkswagen;Gol Power;Elaion F50;Naftero;1.4;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Gol Trend - 1.6  (Naftero);Volkswagen;Gol Trend;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Golf - 1.6  (Naftero);Volkswagen;Golf;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Golf - 1.8  (Naftero);Volkswagen;Golf;Elaion F10;Naftero;1.8;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Golf - 1.8 t  (Naftero);Volkswagen;Golf;Elaion F50;Naftero;1.8 t;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Golf - 1.9 tdi  (Diesel);Volkswagen;Golf;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Golf - 2.0  (Naftero);Volkswagen;Golf;Elaion F50;Naftero;2.0;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Passat - 1.8 t  (Naftero);Volkswagen;Passat;Elaion F50;Naftero;1.8 t;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Passat - 1.9 tdi  (Diesel);Volkswagen;Passat;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Passat - 2.0 tdi  (Diesel);Volkswagen;Passat;Elaion F50;Diesel;2.0 tdi;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Passat - 2.8 VR6  (Naftero);Volkswagen;Passat;Elaion F50;Naftero;2.8 VR6;6,5;7;1,75;1;0,75;3;0,5;$ 625,00;$ 163,00;$ 625,00;$ 489,00;$ 1.114,00
Volkswagen Polo Classic - 1.6  (Naftero);Volkswagen;Polo Classic;Elaion F50;Naftero;1.6;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Polo Classic - 1.8  (Naftero);Volkswagen;Polo Classic;Elaion F50;Naftero;1.8;3,5;4;1;1;0;0;0,5;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Polo Classic - 1.9  (Diesel);Volkswagen;Polo Classic;Elaion F10;Diesel;1.9;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Polo Classic - 1.9 tdi  (Diesel);Volkswagen;Polo Classic;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Santana - 2.0  (Naftero);Volkswagen;Santana;Elaion F10;Naftero;2.0;3,5;4;1;1;0;0;0,5;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Sharan - 1.8 t  (Naftero);Volkswagen;Sharan;Elaion F50;Naftero;1.8 t;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Sharan - 1.9 tdi  (Diesel);Volkswagen;Sharan;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Suran - 1.6  (Naftero);Volkswagen;Suran;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Suran - 1.9  (Diesel);Volkswagen;Suran;Elaion F10;Diesel;1.9;4,0;4;1;1;0;0;0;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Volkswagen Tiguan - 2.0 tdi  (Diesel);Volkswagen;Tiguan;Elaion F50;Diesel;2.0 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Tiguan - 2.0 tsi  (Naftero);Volkswagen;Tiguan;Elaion F50;Naftero;2.0 tsi;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Touareg - 206kw  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;206kw;6,9;7;1,75;1;0,75;3;0,1;$ 625,00;$ 163,00;$ 625,00;$ 489,00;$ 1.114,00
Volkswagen Touareg - 257kw  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;257kw;9,1;10;2,5;2;0,5;2;0,9;$ 625,00;$ 163,00;$ 1.250,00;$ 326,00;$ 1.576,00
Volkswagen Touareg - 3.2 V6  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;3.2 V6;6,3;7;1,75;1;0,75;3;0,7;$ 625,00;$ 163,00;$ 625,00;$ 489,00;$ 1.114,00
Volkswagen Touareg - 3.6  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;3.6;6,3;7;1,75;1;0,75;3;0,7;$ 625,00;$ 163,00;$ 625,00;$ 489,00;$ 1.114,00
Volkswagen Touareg - 331kw  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;331kw;14,0;14;3,5;3;0,5;2;0;$ 625,00;$ 163,00;$ 1.875,00;$ 326,00;$ 2.201,00
Volkswagen Touareg - 4.2  (Naftero);Volkswagen;Touareg;Elaion F50;Naftero;4.2;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Volkswagen Touareg - 5.0 tdi  (Diesel);Volkswagen;Touareg;Elaion F50;Diesel;5.0 tdi;13,5;14;3,5;3;0,5;2;0,5;$ 625,00;$ 163,00;$ 1.875,00;$ 326,00;$ 2.201,00
Volkswagen Vento - 1.9 tdi  (Diesel);Volkswagen;Vento;Elaion F50;Diesel;1.9 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Vento - 2.0 tdi  (Diesel);Volkswagen;Vento;Elaion F50;Diesel;2.0 tdi;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volkswagen Vento - 2.0 tsi  (Naftero);Volkswagen;Vento;Elaion F50;Naftero;2.0 tsi;4,5;5;1,25;1;0,25;1;0,5;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Volkswagen Vento - 2.5  (Naftero);Volkswagen;Vento;Elaion F50;Naftero;2.5;5,5;6;1,5;1;0,5;2;0,5;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Volkswagen Voyage - 1.6  (Naftero);Volkswagen;Voyage;Elaion F50;Naftero;1.6;4,0;4;1;1;0;0;0;$ 625,00;$ 163,00;$ 625,00;$ 0,00;$ 625,00
Volvo C30 - 1.6  (Naftero);Volvo;C30;Elaion F50E;Naftero;1.6;4,0;4;1;1;0;0;0;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo C30 - 1.6D  (Diesel);Volvo;C30;Elaion F50E;Diesel;1.6D;3,7;4;1;1;0;0;0,3;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo C30 - 1.8  (Naftero);Volvo;C30;Elaion F50E;Naftero;1.8;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo C30 - 1.8F  (Naftero);Volvo;C30;Elaion F50E;Naftero;1.8F;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo C30 - 2.0  (Naftero);Volvo;C30;Elaion F50E;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo C30 - 2.0D  (Diesel);Volvo;C30;Elaion F50E;Diesel;2.0D;5,0;5;1,25;1;0,25;1;0;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo C30 - 2.4i  (Naftero);Volvo;C30;Elaion F50E;Naftero;2.4i;5,8;6;1,5;1;0,5;2;0,2;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo C30 - D5  (Diesel);Volvo;C30;Consultar manual;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Volvo C30 - T5  (Naftero);Volvo;C30;Elaion F50E;Naftero;T5;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo C70 - 2.0D  (Diesel);Volvo;C70;Elaion F50E;Diesel;2.0D;5,0;5;1,25;1;0,25;1;0;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
Volvo C70 - 2.4  (Naftero);Volvo;C70;Elaion F50E;Naftero;2.4;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo C70 - 2.4i  (Naftero);Volvo;C70;Elaion F50E;Naftero;2.4i;5,8;6;1,5;1;0,5;2;0,2;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo C70 - D5  (Diesel);Volvo;C70;Elaion F50E;Diesel;D5;6,0;6;1,5;1;0,5;2;0;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo C70 - T5  (Naftero);Volvo;C70;Elaion F50E;Naftero;T5;5,5;6;1,5;1;0,5;2;0,5;$ 609,00;$ 156,00;$ 609,00;$ 312,00;$ 921,00
Volvo S40 - 1.6  (Naftero);Volvo;S40;Elaion F50E;Naftero;1.6;4,0;4;1;1;0;0;0;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo S40 - 1.6D  (Diesel);Volvo;S40;Elaion F50E;Diesel;1.6D;3,7;4;1;1;0;0;0,3;$ 609,00;$ 156,00;$ 609,00;$ 0,00;$ 609,00
Volvo S40 - 1.8  (Naftero);Volvo;S40;Elaion F50E;Naftero;1.8;4,3;5;1,25;1;0,25;1;0,7;$ 609,00;$ 156,00;$ 609,00;$ 156,00;$ 765,00
