DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Mercedes Benz CLS 350 -   (N/E);Mercedes Benz;CLS 350;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz CLS 500 -   (N/E);Mercedes Benz;CLS 500;Elaion F50;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 163,00;$ 1.413,00
Mercedes Benz E 240 -   (N/E);Mercedes Benz;E 240;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz E 270 CDI -   (N/E);Mercedes Benz;E 270 CDI;Elaion F50;N/E;;6,5;7;1,75;1;0,75;3;0,5;$ 625,00;$ 163,00;$ 625,00;$ 489,00;$ 1.114,00
Mercedes Benz E 320 -   (N/E);Mercedes Benz;E 320;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz E 320 CDI -   (N/E);Mercedes Benz;E 320 CDI;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz E 350 -   (N/E);Mercedes Benz;E 350;Elaion F50;N/E;;8,0;8;2;2;0;0;0;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz E 500 -   (N/E);Mercedes Benz;E 500;Elaion F50;N/E;;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Mercedes Benz E 55 AMG Kompressor -   (N/E);Mercedes Benz;E 55 AMG Kompressor;Consultar manual;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Mercedes Benz ML 270 CDI -   (N/E);Mercedes Benz;ML 270 CDI;Elaion SUV;N/E;;7,0;7;1,75;1;0,75;3;0;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Mercedes Benz ML 320 CDI -   (N/E);Mercedes Benz;ML 320 CDI;Elaion SUV;N/E;;9,0;9;2,25;2;0,25;1;0;$ 682,00;$ 174,00;$ 1.364,00;$ 174,00;$ 1.538,00
Mercedes Benz ML 350 / 500 -   (N/E);Mercedes Benz;ML 350 / 500;Elaion SUV;N/E;;8,0;8;2;2;0;0;0;$ 682,00;$ 174,00;$ 1.364,00;$ 0,00;$ 1.364,00
Mercedes Benz ML 400 CDI -   (N/E);Mercedes Benz;ML 400 CDI;Elaion SUV;N/E;;9,5;10;2,5;2;0,5;2;0,5;$ 682,00;$ 174,00;$ 1.364,00;$ 348,00;$ 1.712,00
Mercedes Benz ML 63 AMG -   (N/E);Mercedes Benz;ML 63 AMG;Consultar manual;N/E;;9,7;10;2,5;2;0,5;2;0,3;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
Mercedes Benz S 400 CDI -   (N/E);Mercedes Benz;S 400 CDI;Elaion F50;N/E;;10,0;10;2,5;2;0,5;2;0;$ 625,00;$ 163,00;$ 1.250,00;$ 326,00;$ 1.576,00
Mercedes Benz S 500 -   (N/E);Mercedes Benz;S 500;Elaion F50;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 163,00;$ 1.413,00
Mercedes Benz S 500 L -   (N/E);Mercedes Benz;S 500 L;Elaion F10;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 347,00;$ 90,00;$ 694,00;$ 90,00;$ 784,00
Mercedes Benz SL 500 -   (N/E);Mercedes Benz;SL 500;Elaion F50;N/E;;8,5;9;2,25;2;0,25;1;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 163,00;$ 1.413,00
Mercedes Benz SL 55 AMG Kompressor -   (N/E);Mercedes Benz;SL 55 AMG Kompressor;Consultar manual;N/E;;8,7;9;2,25;2;0,25;1;0,3;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
